Incident Id,Call Type,Date,Location,Incident Number
203704,Traffic,12/22/2013 10:16:00 AM,Pearl St / Greene St,13BU033584
203712,Traffic,12/22/2013 09:56:00 AM,North Ave / Convent Sq,13BU033585
203721,Traffic,12/22/2013 10:31:00 AM,Pine St/Howard St,13BU033586
203730,Mental Health Issue,12/22/2013 11:09:00 AM,St Paul St/King St,13BU033587
203763,Trespass,12/22/2013 01:07:00 PM,Maple St,13BU033594
203765,Ordinance Violation - Other,12/22/2013 01:14:00 PM,Baird St,13BU033595
203808,Trespass,12/22/2013 04:10:00 PM,Church St,13BU033602
203820,Trespass,12/22/2013 04:38:00 PM,Church St,13BU033606
203849,Traffic,12/22/2013 06:09:00 PM,S Willard St / Chittenden Dr,13BU033610
203915,Domestic Disturbance,12/22/2013 09:31:00 PM,Maple St,13BU033617
203930,Noise,12/22/2013 10:20:00 PM,Grant St,13BU033618
203994,Vandalism,12/23/2013 04:40:00 AM,Hungerford Ter,13BU033627
204046,Traffic,12/23/2013 09:00:00 AM,Shelburne Rd / Prospect Pkwy,13BU033634
204053,Traffic,12/23/2013 09:23:00 AM,North St/N Winooski Ave,13BU033635
204057,Intoxication,12/23/2013 09:33:00 AM,Church St/Cherry St,13BU033637
204068,Traffic,12/23/2013 09:51:00 AM,Shelburne Rd/Swift St,13BU033640
204085,Mental Health Issue,12/23/2013 10:29:00 AM,St Paul St,13BU033642
204137,Traffic,12/23/2013 12:02:00 PM,Pearl St / Pine St,13BU033647
204138,Traffic,12/23/2013 12:04:00 PM,Park St/Monroe St,13BU033648
204149,Traffic,12/23/2013 12:21:00 PM,Shelburne Rd/Scarff Ave,13BU033652
204160,Traffic,12/23/2013 12:41:00 PM,shelburne Rd / White Street,13BU033653
204172,Traffic,12/23/2013 01:05:00 PM,Grant St/N Union St,13BU033656
204271,Traffic,12/23/2013 04:20:00 PM,North Ave/Cross Pkwy,13BU033670
204324,Stolen Vehicle,12/23/2013 06:22:00 PM,North St,13BU033681
204330,Mental Health Issue,12/23/2013 07:01:00 PM,Bank St/Church St,13BU033684
204361,Burglary,12/23/2013 08:00:00 PM,Buell St,13BU033688
204405,Trespass,12/23/2013 10:35:00 PM,North St,13BU033697
204425,Trespass,12/23/2013 11:29:00 PM,North St,13BU033699
204438,Traffic,12/24/2013 12:01:00 AM,S Union St/Cliff St,13BU033703
204470,Noise,12/24/2013 02:22:00 AM,Avenue C,13BU033707
204522,Mental Health Issue,12/24/2013 07:47:00 AM,North Ave,13BU033716
204530,Trespass,12/24/2013 07:57:00 AM,North Ave,13BU033717
204535,Vandalism,12/24/2013 08:04:00 AM,Riverside Ave,13BU033718
204593,Traffic,12/24/2013 11:17:00 AM,North Ave/Washington St,13BU033725
204596,Traffic,12/24/2013 11:27:00 AM,Main St/Battery St,13BU033728
204601,Traffic,12/24/2013 11:32:00 AM,Colchester Ave/University Pl,13BU033729
204691,Burglary,12/24/2013 02:48:00 PM,Colchester Ave,13BU033741
204742,Larceny - from Building,12/24/2013 05:25:00 PM,North Ave,13BU033750
204743,Intoxication,12/24/2013 05:28:00 PM,Church St,13BU033751
204745,Traffic,12/24/2013 05:34:00 PM,Archibald St/Bright St,13BU033752
204746,Traffic,12/24/2013 05:41:00 PM,Battery St/Pearl St,13BU033753
204754,Traffic,12/24/2013 06:12:00 PM,S Winooski Ave/Spruce St,13BU033756
204759,Traffic,12/24/2013 06:30:00 PM,Colchester Ave/East Ave,13BU033758
204766,Traffic,12/24/2013 06:51:00 PM,Main St/S Union St,13BU033760
204768,Traffic,12/24/2013 06:59:00 PM,S Champlain St/College St,13BU033761
